Card ID,Container,Folder Name,"File, TCG","File, OCG",Cen?,Patched?,Art #,English Name,Japanese Name,German Name,Korean Name
4024,TCG/OCG,0000,6ceb9e12,4d3ab36f,Yes,Yes,,Left Leg of the Forbidden One,封印されし者の左足,Linkes Bein der Verbotenen,봉인된 자의 왼쪽 다리
4025,TCG/OCG,0000,1becae84,3a3d83f9,Yes,Yes,,Right Arm of the Forbidden One,封印されし者の右腕,Rechter Arm der Verbotenen,봉인된 자의 오른쪽 팔
4026,TCG/OCG,0000,82e5ff3e,a334d243,Yes,Yes,,Left Arm of the Forbidden One,封印されし者の左腕,Linker Arm der Verbotenen,봉인된 자의 왼쪽 팔
4027,TCG/OCG,0000,f5e2cfa8,d433e2d5,Yes,Yes,,Exodia the Forbidden One,封印されしエクゾディア,"Exodia, die Verbotene",봉인된 엑조디아
4028,Common,0000,655dd239,655dd239,No,#N/A,,Summoned Skull,デーモンの召喚,Herbeigerufener Totenkopf,데몬 소환
4029,Common,0000,125ae2af,125ae2af,No,#N/A,,The Wicked Worm Beast,邪悪なるワーム・ビースト,Böses Wurmungeheuer,사악한 웜 괴물
4030,Common,0000,729d6b4a,729d6b4a,No,#N/A,,Skull Servant,ワイト,Totenkopfdiener,저주받은 하인
4031,Common,0000,059a5bdc,059a5bdc,No,#N/A,,Horn Imp,インプ,Hornkobold,임프
4032,Common,0000,9c930a66,9c930a66,No,#N/A,,Battle Ox,ミノタウルス,Kampfochse,미노타우로스
4033,Common,0000,eb943af0,eb943af0,No,#N/A,,Beaver Warrior,ルイーズ,Biberkrieger,루이즈
4034,Common,0000,75f0af53,75f0af53,No,#N/A,,Rock Ogre Grotto #1,岩窟魔人オーガ・ロック,Felsen-Oger Grotte #1,바위 마신 오우거록
4035,Common,0000,02f79fc5,02f79fc5,No,#N/A,,Mountain Warrior,マウンテン・ウォーリアー,Bergkrieger,마운틴 워리어
4036,Common,0000,9bfece7f,9bfece7f,No,#N/A,,Zombie Warrior,アンデット・ウォーリアー,Zombiekrieger,언데드 워리어
4037,Common,0000,ecf9fee9,ecf9fee9,No,#N/A,,Koumori Dragon,デビル・ドラゴン,Koumori-Drache,데블 드래곤
4038,Common,0000,7c46e378,7c46e378,No,#N/A,,Two-Headed King Rex,二頭を持つキング・レックス,Zweiköpfiger König Rex,두 머리의 킹렉스
4039,Common,0000,0b41d3ee,0b41d3ee,No,#N/A,,Judge Man,ジャッジ・マン,Vollstrecker,심판자
4040,Common,0000,3ddcfd8d,3ddcfd8d,No,#N/A,,Saggi the Dark Clown,闇・道化師のサギー,"Saggi, dunkler Clown",어둠의 어릿광대 사기
4041,Common,0000,4adbcd1b,4adbcd1b,No,#N/A,4,Dark Magician,ブラック・マジシャン,Dunkler Magier,블랙 매지션
